symbol	TCGA-3A-A9IX-01A	TCGA-F2-6879-01A	TCGA-F2-6880-01A	TCGA-F2-A44G-01A	TCGA-F2-A44H-01A	TCGA-FB-A78T-01A	TCGA-FB-AAPY-01A	TCGA-FB-AAQ6-01A	TCGA-H8-A6C1-01A	TCGA-HZ-7924-01A	TCGA-HZ-A49H-01A	TCGA-HZ-A77P-01A	TCGA-IB-7652-01A	TCGA-IB-7885-01A	TCGA-IB-8127-01A	TCGA-IB-A5SS-01A	TCGA-IB-A6UF-01A	TCGA-LB-A8F3-01A	TCGA-Q3-A5QY-01A	TCGA-S4-A8RM-01A
ALDH5A1	5.85950749015027	4.94881871265162	3.63199776808233	4.60967308215387	4.59052602771808	4.65788185219604	5.04789261702114	5.88544690046032	4.54336443517704	6.96512587910928	4.41318438070317	4.86165357244596	5.34259201894667	5.15862886723601	6.00551428920054	4.20777699819853	3.69087323837881	4.34925500471535	5.55272558261299	6.00472596680316
RAB13	8.86986120662695	9.28867127537579	3.47836835620235	8.91501795557597	8.61526168468193	8.77009658303924	10.2220455421455	10.2363420535554	9.73858138756429	9.41453228485678	8.90411458785796	9.51799844944278	8.63654057395943	9.36265172290851	9.91111100118592	8.99213588018733	10.04971760458	10.4006941199202	8.1599187529678	9.79114870651467
HSPB8	5.51450323511955	2.28748459931169	2.9967717711618	3.85741827524657	4.08732664387468	3.21148530587301	3.37715206474181	2.23302873832277	3.57702590065789	4.85893608517069	5.13634012754366	7.51950769243093	4.34475502547394	4.52754172345856	4.04931673027527	3.99566548674151	4.87255516173238	3.91656842075858	5.4385143206318	2.84058929424034
FERMT3	4.30644176381585	5.43114977812199	0.0619439260756316	5.39079944237823	4.11378090515436	6.02364382191226	5.18989740590361	5.39867750932765	5.62761249915691	4.07182402435099	4.30087725877548	4.17039273485468	4.60625753706984	6.177715799202	3.77800511573457	4.03064932711725	5.35920802751297	5.10585148029451	5.99350606181773	6.25340683480808
MOCOS	3.18808848726474	7.50402476328072	1.53995083417262	8.12169963536521	5.26020506699264	7.0982217537826	5.23412268521145	7.79044022666551	6.21997335083137	8.64578534188807	5.3383737534347	5.52787634188693	5.2767382083817	6.23482418760442	5.37428674582607	5.80573653016982	2.99337053454046	6.33644793884941	2.60929839290811	7.59180091717847
AMIGO2	5.76731283587909	6.81855148336916	0.056960330820087	6.05205361575396	4.43034672727586	4.09226791312769	4.67365116235469	3.49827590416896	4.2831486906199	3.80537192549559	4.06507408029134	5.22919523699994	5.8922410318695	4.99961957031604	9.24572736911786	7.05449522979627	6.20068842003138	2.1877504391165	4.89843804415187	4.89952945614358
FGFBP1	4.04001675512358	4.64634921870515	1.07119633328087	6.83283547535257	0.917738843417966	3.79992082718976	5.32573611652922	2.60578032474914	3.43703039590572	3.66407488808812	4.6561103095618	4.32592957282761	8.59133006369516	8.13918231707576	4.29169684754272	8.61865096958878	3.35611820111018	1.22398484508828	3.66428083136584	1.84839700548505
DOCK2	4.73158636200439	3.39841892948554	1.0940730463598	3.25895508878832	4.0126099820687	3.67883203968272	4.28730330725427	2.16982265736492	3.73788132786996	4.05198509782214	4.1455892942037	3.98579362318475	4.94999849956418	4.33328145534627	4.52250285261265	3.92570045703183	2.74961630547609	2.06979473477131	6.24958610700026	3.43556309191535
RNASEH2B	7.17124644330983	7.1384368376749	4.26867432889511	6.47274399828306	6.22397081486833	6.32872401448625	6.89085910468979	7.00152001973127	6.55626812772007	7.19126954049634	6.90028373508355	7.79226119935743	7.51041110783238	6.86752263674981	6.90093611643086	6.63984733294047	6.66276852878576	6.41481497360648	7.69915746995093	6.90183561343063
RAG1	4.17638109119827	3.66581536796215	2.57759017456286	2.88816566591093	3.13329629450425	3.19621983856339	3.12059593502269	3.1909573674404	3.57811132533187	4.94195788153254	2.86909144082493	3.56599932752763	4.06018174182664	3.40415816297777	5.3474233360918	4.45776876299998	3.07241046743401	2.88304962418395	2.66545998623612	4.15920265353098
KRT7	7.59806444227037	6.99118027057879	2.13044839275985	7.72709995691822	5.50009336356658	7.23698357667821	7.59575007369119	6.67778576185116	5.67081452471987	5.79091242012893	5.39472669167485	5.70500758000339	5.64351436833786	7.04551131074278	8.65055996113048	9.51782643165919	9.19277758380828	5.01778650212603	6.835133648671	6.5185037211523
KRT8	7.9708080431118	8.44529260930294	4.38572095259287	8.6033861518741	6.36933962344576	9.05820017769141	9.08583421861339	8.69299006713462	6.29140953972957	9.75605809230102	6.91483140222585	7.089995363648	7.58150604087032	8.42717969696965	9.03310775207249	8.968077959679	7.76126309826169	7.95783653918073	7.83469108238532	8.52331578268565
