symbol	TCGA.2L.AAQA.01A	TCGA.2L.AAQE.01A	TCGA.2L.AAQI.01A	TCGA.2L.AAQJ.01A	TCGA.3A.A9I9.01A	TCGA.3A.A9IH.01A	TCGA.3A.A9IZ.01A	TCGA.3A.A9J0.01A	TCGA.F2.7273.01A	TCGA.F2.7276.01A	TCGA.F2.A8YN.01A	TCGA.FB.A5VM.01A	TCGA.FB.AAPP.01A	TCGA.HZ.8317.01A	TCGA.HZ.A49G.01A	TCGA.HZ.A77O.01A	TCGA.IB.7644.01A	TCGA.IB.7647.01A	TCGA.IB.7651.01A	TCGA.IB.7889.01A	TCGA.IB.7891.01A	TCGA.IB.A5SO.01A	TCGA.IB.A5SP.01A	TCGA.IB.A7LX.01A	TCGA.IB.AAUO.01A	TCGA.RB.AA9M.01A	TCGA.US.A774.01A	TCGA.XD.AAUI.01A
VAMP8	8.39908120847485	10.3540877031722	9.46219987743678	10.5622076671922	9.1726059282594	10.158098366691	8.55856293106287	9.16433382256426	7.66939367769717	8.21773709205111	9.19968384388751	10.0419567188509	8.62468414815809	7.12915843216504	8.35398826188039	8.49147232399752	9.04866205052016	9.52504165106306	9.15088324921284	10.2511297130485	8.43120520042764	7.93773800353213	10.7912885880165	8.79192929679155	9.91761394848293	9.48985980851218	8.28707582606708	9.21570481889229
IFI6	7.01720251567387	10.6626807091587	8.92783442640531	7.62374582287924	6.02099523184541	9.50924160197185	6.59362976243704	7.0938255558225	7.19571568168072	5.54169595306514	6.50036198586729	9.56978417941059	8.69451067295304	6.78035649373701	9.38100130318137	6.85948608379573	7.33721400888454	5.86614843877991	11.7997428968161	4.89192433894563	8.06562847812058	10.6101406098676	9.01555136654791	5.67586776804979	11.2184724672142	6.14394859270652	8.02893278854812	6.71863700948856
DCBLD2	6.76316841464516	5.65324688424593	7.35656814957197	6.82660613697031	5.29468261923737	6.65825532566016	6.0498642699867	6.69257123410296	6.77992762807625	7.73675862970993	5.76767297297113	8.55860172282794	1.15625594164227	6.74624212665897	6.75993979607034	7.65604466647033	6.12918108524546	6.47934452875872	7.65688388757854	7.10155697577774	7.53828656251252	6.21265768225134	3.82777317236117	11.3922973639143	8.70640490720137	9.16396647116795	7.78614270685036	8.73570117734316
PALLD	7.39442305101331	7.63787706426666	7.3155786122402	7.29115736524646	5.93579834747756	8.24197285274634	8.09602943172179	8.07355992185883	9.65941353203887	10.3047644559455	8.27527487743364	7.01695080383279	6.33801865232166	7.57693078439558	7.6729421665066	6.72369797069934	8.81905267014469	10.125431172348	9.87239708391054	7.88684582334823	9.08241333651634	9.10642541409619	6.01426987598275	7.79167517396212	7.07235705663559	8.40418841049804	8.90920924216119	8.42006082992718
ACSL5	7.33534151032111	7.56920479352759	6.08795704964203	6.65882574565036	4.46590661755928	6.82417768731487	5.20396459884027	6.96567902645117	4.1622965934863	4.09441066482693	7.34699147622826	1.97658329806457	4.90080814990024	4.23070151432892	5.11306744740751	3.91805996638075	7.35205852815454	6.86475090898545	4.84421775849561	6.43171478118337	5.42433325428709	5.72962101031261	6.84834624966441	4.77942345337222	5.50045519415926	5.73503224850784	5.12766082457749	5.19874158134153
AHNAK2	8.64313140282238	7.85918515048923	6.69525700226447	7.54272551203968	5.03821368850623	6.39740072904048	5.09094436274959	8.42427465506448	4.49038771638945	4.54819159083785	7.65528580303444	5.1373682622076	1.40351234073516	4.55539997580745	5.87913005865738	5.95523709039205	5.91012973183047	5.96034272476346	7.92387107139763	5.58111098565897	4.4980837329412	6.43148490204927	5.25461182129848	8.48054746921143	6.68898606436332	6.54779716561084	6.71323462652621	7.21807539544704
MYB	2.77502206891205	3.87608267735929	5.0730971504522	3.74307170030667	3.02762761870296	2.48778514861043	3.72136715691625	6.52429833974028	3.26271856786054	3.11853161709945	5.03670692507328	3.15428137132769	5.83023762269576	3.14749085327465	4.95736031828007	2.24458450248154	3.34711984176526	5.79654616961482	2.7838262519691	4.2439201104911	4.23036301070582	2.77623736893561	3.50817100958195	8.05685884285541	3.73479325914105	2.91874505280254	4.61447011025356	4.19405964909892
MYBL1	6.02530522686	6.24928877642949	5.51203698686662	5.94714974049597	6.28119244341438	5.76010082135579	7.02300636254471	5.50325933759425	7.11107949512089	6.89156164326358	5.87359438967259	6.30235939668632	5.08987264425581	6.34666531000621	6.98976189884177	5.86744636762418	5.5509876464135	6.66460638141369	5.99685520359061	5.63891239543637	5.41123423598747	6.6478060407736	5.3969314101795	7.62598024003466	7.69338493178981	7.332986187092	6.13343110222184	6.93296156525695
CD276	5.77984631879259	6.23035574109284	5.63044573043475	6.08652371747043	4.75385526328231	6.32418326898593	6.36859361599805	6.47114002997393	5.96615539063412	6.09634410970718	5.67304728063243	6.57063836593975	4.52818497797783	4.91012788308259	5.18604621935577	5.90785531059157	5.46532072712091	5.9695925333338	5.71551421595483	5.53460744630058	5.49530039121201	6.02157374584716	4.29438158270374	6.29100481337134	6.0534553066297	6.11792586491201	6.23074673839746	5.8591550470678
B3GALNT1	5.67155200850426	5.12397151384059	6.18398355952047	6.97537675915137	4.35905487037159	5.76134017765617	5.99218733534166	4.42519422298949	5.9118924370439	6.22862455891165	5.3083251211211	5.04944425239657	1.37777135209733	5.15948422457334	5.59905597679003	4.86480312925061	6.52175249193364	7.51204584847748	5.3524385966968	5.42942675333228	6.52377363869751	5.58523012210745	5.41483393519191	5.63780710374508	4.78055808994174	6.3827665002504	6.4814912310211	5.06464312688089
