symbol	TCGA-3A-A9IC	TCGA-D7-A748	TCGA-HZ-A49I	TCGA-IB-7888	TCGA-OE-A75W	TCGA-VQ-A8DU	TCGA-VQ-A8DZ	TCGA-VQ-AA6F	TCGA-VQ-AA6G
PMP22	7.79206346713724	7.88931276964591	11.1982716993298	8.13706082320188	6.8930386401189	5.01903913832218	4.39470595423317	4.41818992596725	6.28554615840006
VEGFC	7.70325314626411	7.08945027878484	5.09355313816299	6.59987954968588	5.27811009970324	5.32814235913654	5.73085683274728	5.4762136583583	5.00452226707207
COL4A1	6.44457230629316	5.55195168413662	4.91562920029672	7.5402813425699	3.58619885006713	4.87939178534655	5.71848800427052	5.10923663152224	6.08570382408268
COL3A1	8.51163610232974	7.07829777638747	5.60852162799045	7.3445532331715	5.24914326918799	4.27366179952228	2.84371524665597	2.60900301822355	2.87803152869248
COL4A2	7.62980953400435	6.17013284616308	6.56796026139631	8.01192823067152	5.59423915874746	5.44890625159197	6.12926201476897	5.84390648601443	6.46047792465159
VIM	12.7725186570739	11.49416985598	13.707767331987	12.6119100201692	11.2446214030229	8.65690729075279	8.92200972570104	8.66508287052788	8.17699640364843
FKBP10	9.25494635728788	5.91886719528018	6.41671499034311	7.69992710658964	7.32750867604097	7.26071445481244	7.30950331119773	8.1993819977036	5.27705728723179
FNDC3B	7.29461105436558	8.0352061957958	7.20270291500704	7.50391458156696	4.79292599980114	7.16776104502631	7.83091501044967	8.40135410380396	8.63391271922299
COL8A1	7.13722006657936	7.72908779797679	4.61126584342772	7.79408946285535	3.48490086963683	4.600716976787	4.85681182291997	3.41691508568267	3.99105836150183
S100A16	9.83365960664357	7.59965521318184	8.65142738198438	8.80298611077557	9.21256784426084	7.27501789163839	10.2050054572999	6.17835536691359	9.86443409379855
RHOD	7.75750232074405	6.29714228735618	7.13699269316118	3.97288584625982	8.33867382037831	5.77827688403731	9.11993196226636	6.47734396828159	7.33278728816565
WIPF1	4.66238163289725	4.97709614931074	4.54732094659342	5.35859187696194	3.61902786240167	4.11298849711703	3.18987056949427	4.68901409467606	3.00513999660228
CCDC28B	7.39406403472543	6.99472644981582	6.8161539289528	6.26897960890465	7.64857340952648	7.18906088458128	6.02014848801087	4.1718163849391	4.52014311815361
LAT2	4.91141791778712	5.56280139899871	6.52976670439382	6.29530127409002	4.91364697939738	2.54062284373568	3.4340744282063	3.90327562348101	2.8619306981168
